PC Number,Date,Item,Price,Items Sold,Sold Amount,% Sales,Item Reductions,Item Refunds,Item Net Sales
347884,2020-03-18,"Bagel w/CC, Item Only",2.49,16,39.84,2.76,2.94,0.0,36.9
347884,2020-03-18,z-No Price 1.5oz Plain CC,0.0,7,0.0,0.0,0.0,0.0,0.0
347884,2020-03-18,"6 Bagels, Item Only",5.99,1,5.99,0.41,0.0,0.0,5.99
347884,2020-03-18,Plain Bagel,1.39,1,1.39,0.1,0.0,0.0,1.39
347884,2020-03-18,"Croissant, Plain Croissant",1.59,4,6.36,0.44,0.0,0.0,6.36
347884,2020-03-18,"Coca-Cola Cooler Beverages, Bottled Water",1.89,1,1.89,0.13,0.0,0.0,1.89
347884,2020-03-18,"Coca-Cola Cooler Beverages, Coca-Cola",1.89,1,1.89,0.13,0.0,0.0,1.89
347884,2020-03-18,"Coca-Cola Cooler Beverages, Diet Coke",1.89,3,5.67,0.39,0.0,0.0,5.67
347884,2020-03-18,"Coca-Cola Cooler Beverages, Simply Orange Juice",2.29,4,9.16,0.63,0.0,0.0,9.16
347884,2020-03-18,"Coca-Cola Cooler Beverages, Sprite Lemon-Lime",1.89,1,1.89,0.13,0.0,0.0,1.89
347884,2020-03-18,"Dairy Cooler Beverages, Nesquik Choc LowFat",1.99,1,1.99,0.14,0.0,0.0,1.99
347884,2020-03-18,"Dairy Cooler Beverages, Nesquik Strawberry",1.99,2,3.98,0.28,0.0,0.0,3.98
347884,2020-03-18,"Cold Brew Coffee, Large",3.79,3,11.37,0.79,0.19,0.0,11.18
347884,2020-03-18,"Cold Brew Coffee, Medium",3.29,2,6.58,0.46,0.0,0.0,6.58
347884,2020-03-18,"Cold Brew Coffee, Small",2.79,1,2.79,0.19,0.0,0.0,2.79
347884,2020-03-18,"Iced Coffee, Large, Dark Roast",3.29,2,6.58,0.46,0.0,0.0,6.58
347884,2020-03-18,"Iced Coffee, Large, Decaf",3.29,1,3.29,0.23,3.29,0.0,0.0
347884,2020-03-18,"Iced Coffee, Large, Original Blend",3.29,20,65.8,4.55,0.33,0.0,65.47
347884,2020-03-18,"Iced Coffee, Medium, Decaf",2.79,2,5.58,0.39,0.0,0.0,5.58
347884,2020-03-18,"Iced Coffee, Medium, Original Blend",2.79,20,55.8,3.86,0.0,0.0,55.8
347884,2020-03-18,"Iced Coffee, Small, Original Blend",2.29,9,20.61,1.43,0.0,0.0,20.61
347884,2020-03-18,"Coolatta, Medium, Blue Raspberry",3.79,1,3.79,0.26,0.0,0.0,3.79
347884,2020-03-18,"Coolatta, Small, Strawberry",2.99,1,2.99,0.21,0.0,0.0,2.99
347884,2020-03-18,Add Espresso Shot,0.99,6,5.94,0.41,0.0,0.0,5.94
347884,2020-03-18,"Add Espresso Shot - Espresso, Regular",0.99,1,0.99,0.07,0.0,0.0,0.99
347884,2020-03-18,"Add Espresso Shot - Hot Winter Beverages, Regular",0.99,1,0.99,0.07,0.0,0.0,0.99
347884,2020-03-18,"Cappuccino, Medium, Original",3.59,1,3.59,0.25,0.0,0.0,3.59
347884,2020-03-18,"Iced Americano, Large, Original",4.49,1,4.49,0.31,0.0,0.0,4.49
347884,2020-03-18,"Iced Cappuccino, Medium, Original",2.0,2,4.0,0.28,0.0,0.0,4.0
347884,2020-03-18,"Iced Latte, Large, Original",4.49,4,17.96,1.24,0.0,0.0,17.96
347884,2020-03-18,"Iced Latte, Medium, Original",2.0,8,16.0,1.11,0.0,0.0,16.0
347884,2020-03-18,"Iced Latte, Small, Original",3.59,4,14.36,0.99,0.0,0.0,14.36
347884,2020-03-18,"Iced Macchiato, Medium, Decaf",4.39,1,4.39,0.3,0.0,0.0,4.39
347884,2020-03-18,"Iced Macchiato, Medium, Original",4.39,1,4.39,0.3,0.0,0.0,4.39
347884,2020-03-18,"Iced Matcha Latte, Medium",4.29,3,12.87,0.89,0.0,0.0,12.87
347884,2020-03-18,"Iced Signature Latte, Large, Original, Caramel Craze",4.79,1,4.79,0.33,0.0,0.0,4.79
347884,2020-03-18,"Iced Signature Latte, Medium, Decaf, Caramel Craze",4.39,1,4.39,0.3,0.0,0.0,4.39
347884,2020-03-18,"Iced Signature Latte, Medium, Original, Caramel Craze",4.39,1,4.39,0.3,0.0,0.0,4.39
347884,2020-03-18,"Iced Signature Latte, Small, Original, Caramel Craze",3.89,1,3.89,0.27,0.0,0.0,3.89
347884,2020-03-18,"Latte, Medium, Original",2.0,2,4.0,0.28,0.0,0.0,4.0
347884,2020-03-18,"Latte, Medium, Original",3.59,2,7.18,0.5,0.0,0.0,7.18
347884,2020-03-18,"Latte, Small, Original",3.09,3,9.27,0.64,0.0,0.0,9.27
347884,2020-03-18,"Macchiato, Medium, Original",3.89,1,3.89,0.27,0.0,0.0,3.89
347884,2020-03-18,"Matcha Latte, Medium",3.89,1,3.89,0.27,0.0,0.0,3.89
347884,2020-03-18,"Signature Latte, Large, Original, Caramel Craze",4.29,1,4.29,0.3,0.0,0.0,4.29
347884,2020-03-18,"Signature Latte, Small, Original, Cocoa Mocha",3.39,1,3.39,0.23,0.0,0.0,3.39
347884,2020-03-18,"Hot Coffee, Large, Dark Roast",2.39,1,2.39,0.17,0.0,0.0,2.39
347884,2020-03-18,"Hot Coffee, Large, Decaf",2.39,2,4.78,0.33,0.0,0.0,4.78
347884,2020-03-18,"Hot Coffee, Large, Original Blend",2.39,44,105.16,7.28,0.12,0.0,105.04
347884,2020-03-18,"Hot Coffee, Medium, Dark Roast",2.09,1,2.09,0.14,0.0,0.0,2.09
347884,2020-03-18,"Hot Coffee, Medium, Decaf",2.09,1,2.09,0.14,0.0,0.0,2.09
347884,2020-03-18,"Hot Coffee, Medium, Original Blend",2.09,32,66.88,4.63,0.0,0.0,66.88
347884,2020-03-18,"Hot Coffee, Small, Dark Roast",1.79,1,1.79,0.12,0.0,0.0,1.79
347884,2020-03-18,"Hot Coffee, Small, Original Blend",1.79,9,16.11,1.11,0.09,0.0,16.02
347884,2020-03-18,"Hot Coffee, X-Large, Decaf",2.69,3,8.07,0.56,2.69,0.0,5.38
347884,2020-03-18,"Hot Coffee, X-Large, Original Blend",2.69,17,45.73,3.16,0.26,0.0,45.47
347884,2020-03-18,"Mug Refill, 20 Oz., Hot Coffee Original",1.99,1,1.99,0.14,0.0,0.0,1.99
347884,2020-03-18,"Iced Tea, Large, Unsweet Iced Tea",1.59,5,7.95,0.55,0.0,0.0,7.95
347884,2020-03-18,"Iced Tea, Medium, Sweetened Tea",1.29,3,3.87,0.27,0.0,0.0,3.87
347884,2020-03-18,"Iced Tea, Medium, Unsweet Iced Tea",1.29,1,1.29,0.09,0.0,0.0,1.29
347884,2020-03-18,"Iced Tea, Small, Unsweet Iced Tea",0.99,1,0.99,0.07,0.0,0.0,0.99
347884,2020-03-18,"Frozen Coffee, Medium, Original",3.99,6,23.94,1.66,0.0,0.0,23.94
347884,2020-03-18,"Frozen Coffee, Small, Original",2.99,1,2.99,0.21,0.0,0.0,2.99
347884,2020-03-18,"Frozen Hot Winter Beverages, Small, Chocolate",2.99,4,11.96,0.83,0.0,0.0,11.96
347884,2020-03-18,"Hot Chocolate, Large, Original Hot Chocolate",2.69,3,8.07,0.56,2.69,0.0,5.38
347884,2020-03-18,"Hot Chocolate, Medium, Original Hot Chocolate",2.39,2,4.78,0.33,0.0,0.0,4.78
347884,2020-03-18,"Hot Chocolate, Small, Original Hot Chocolate",2.09,1,2.09,0.14,0.0,0.0,2.09
347884,2020-03-18,"Hot Tea, Medium, Green",2.09,1,2.09,0.14,0.0,0.0,2.09
347884,2020-03-18,"Hot Tea, X-Large, Black",2.69,1,2.69,0.19,0.0,0.0,2.69
347884,2020-03-18,"Vanilla Chai, Medium",3.09,1,3.09,0.21,0.0,0.0,3.09
347884,2020-03-18,1 Donut,1.19,136,161.84,11.2,0.3,0.0,161.54
347884,2020-03-18,"12 Donuts, Item Only",10.49,6,62.94,4.36,0.0,0.0,62.94
347884,2020-03-18,2 Dozen donuts,19.98,1,19.98,1.38,0.0,0.0,19.98
347884,2020-03-18,"6 Donuts, Item Only",5.99,14,83.86,5.8,0.0,0.0,83.86
347884,2020-03-18,"Apple Fritter, Item Only",1.79,1,1.79,0.12,0.0,0.0,1.79
347884,2020-03-18,10 Munchkins,2.5,7,17.5,1.21,0.0,0.0,17.5
347884,2020-03-18,25 Munchkins,5.99,1,5.99,0.41,0.0,0.0,5.99
347884,2020-03-18,4 Munchkins,1.0,1,1.0,0.07,0.0,0.0,1.0
347884,2020-03-18,5 Munchkins,1.25,3,3.75,0.26,0.0,0.0,3.75
347884,2020-03-18,50 Munchkins,10.49,1,10.49,0.73,0.0,0.0,10.49
347884,2020-03-18,6 Munchkins,1.5,1,1.5,0.1,0.0,0.0,1.5
347884,2020-03-18,z-No Price Cinnamon Raisin Bagel,0.0,2,0.0,0.0,0.0,0.0,0.0
347884,2020-03-18,z-No Price Everything Bagel,0.0,4,0.0,0.0,0.0,0.0,0.0
347884,2020-03-18,z-No Price Multigrain Bagel,0.0,2,0.0,0.0,0.0,0.0,0.0
347884,2020-03-18,z-No Price Plain Bagel,0.0,9,0.0,0.0,0.0,0.0,0.0
347884,2020-03-18,z-No Price Sesame Bagel,0.0,3,0.0,0.0,0.0,0.0,0.0
347884,2020-03-18,Caramel Swirl,0.0,122,0.0,0.0,0.0,0.0,0.0
347884,2020-03-18,Coconut Caramel Swirl,0.0,13,0.0,0.0,0.0,0.0,0.0
347884,2020-03-18,French Vanilla Swirl,0.0,109,0.0,0.0,0.0,0.0,0.0
347884,2020-03-18,Hazelnut Swirl,0.0,23,0.0,0.0,0.0,0.0,0.0
347884,2020-03-18,Irish Creme Swirl,0.0,13,0.0,0.0,0.0,0.0,0.0
347884,2020-03-18,Mocha Swirl (D),0.0,20,0.0,0.0,0.0,0.0,0.0
347884,2020-03-18,Pumpkin Swirl,0.0,10,0.0,0.0,0.0,0.0,0.0
347884,2020-03-18,Red Velvet Swirl,0.0,3,0.0,0.0,0.0,0.0,0.0
347884,2020-03-18,1 Cream,0.0,6,0.0,0.0,0.0,0.0,0.0
347884,2020-03-18,1 Liquid Cane Sugar,0.0,9,0.0,0.0,0.0,0.0,0.0
347884,2020-03-18,1 Splenda,0.0,3,0.0,0.0,0.0,0.0,0.0
347884,2020-03-18,1 Sugar,0.0,3,0.0,0.0,0.0,0.0,0.0
347884,2020-03-18,"Almond Milk - Coffee, 1",0.6,7,4.2,0.29,0.0,0.0,4.2
347884,2020-03-18,"Almond Milk - Coffee, 4",0.6,1,0.6,0.04,0.0,0.0,0.6
347884,2020-03-18,"Almond Milk - Latte, 1",1.0,1,1.0,0.07,0.0,0.0,1.0
347884,2020-03-18,"American Cheese, Extra",0.25,2,0.5,0.03,0.0,0.0,0.5
347884,2020-03-18,"Bacon, Item Only",1.0,1,1.0,0.07,0.0,0.0,1.0
347884,2020-03-18,"Black, Item Only",0.0,18,0.0,0.0,0.0,0.0,0.0
347884,2020-03-18,"Cream, Item Only",0.0,330,0.0,0.0,0.0,0.0,0.0
347884,2020-03-18,"Cream, On Side",0.0,1,0.0,0.0,0.0,0.0,0.0
347884,2020-03-18,"Equal, Item Only",0.0,4,0.0,0.0,0.0,0.0,0.0
347884,2020-03-18,"Half Sweet Half Unsweet, Item Only",0.0,2,0.0,0.0,0.0,0.0,0.0
347884,2020-03-18,"Half, Item Only, Decaf",0.0,4,0.0,0.0,0.0,0.0,0.0
347884,2020-03-18,"Ham, Item Only",0.7,1,0.7,0.05,0.0,0.0,0.7
347884,2020-03-18,"Lemon, Item Only",0.0,1,0.0,0.0,0.0,0.0,0.0
347884,2020-03-18,Less Spread,0.0,1,0.0,0.0,0.0,0.0,0.0
347884,2020-03-18,"Liquid Cane Sugar, Item Only",0.0,23,0.0,0.0,0.0,0.0,0.0
347884,2020-03-18,Not Toasted (D),0.0,2,0.0,0.0,0.0,0.0,0.0
347884,2020-03-18,"Skim Milk, Item Only",0.0,31,0.0,0.0,0.0,0.0,0.0
347884,2020-03-18,"Splenda, Item Only",0.0,57,0.0,0.0,0.0,0.0,0.0
347884,2020-03-18,"Sugar, Item Only",0.0,128,0.0,0.0,0.0,0.0,0.0
347884,2020-03-18,"Sweet N Low, Item Only",0.0,11,0.0,0.0,0.0,0.0,0.0
347884,2020-03-18,Toasted (D),0.0,18,0.0,0.0,0.0,0.0,0.0
347884,2020-03-18,"Turkey Sausage, Extra",0.7,1,0.7,0.05,0.0,0.0,0.7
347884,2020-03-18,Whip Cream,0.0,1,0.0,0.0,0.0,0.0,0.0
347884,2020-03-18,"Whipped Cream, Item Only",0.0,5,0.0,0.0,0.0,0.0,0.0
347884,2020-03-18,"Whole Milk, Item Only",0.0,22,0.0,0.0,0.0,0.0,0.0
347884,2020-03-18,z-No Price American Cheese,0.0,3,0.0,0.0,0.0,0.0,0.0
347884,2020-03-18,z-No Price Extra Cream,0.0,1,0.0,0.0,0.0,0.0,0.0
347884,2020-03-18,z-No Price Extra Cream and Sugar,0.0,1,0.0,0.0,0.0,0.0,0.0
347884,2020-03-18,z-No Price Less Ice,0.0,14,0.0,0.0,0.0,0.0,0.0
347884,2020-03-18,z-No Price No Lemon,0.0,2,0.0,0.0,0.0,0.0,0.0
347884,2020-03-18,z-No Price Regular,0.0,32,0.0,0.0,0.0,0.0,0.0
347884,2020-03-18,Bavarian Creme,0.0,9,0.0,0.0,0.0,0.0,0.0
347884,2020-03-18,Blueberry Glazed Ring,0.0,4,0.0,0.0,0.0,0.0,0.0
347884,2020-03-18,Chocolate Frosted Sprinkles,0.0,7,0.0,0.0,0.0,0.0,0.0
347884,2020-03-18,Lucky Shamrock,0.0,3,0.0,0.0,0.0,0.0,0.0
347884,2020-03-18,Maple Frosted,0.0,4,0.0,0.0,0.0,0.0,0.0
347884,2020-03-18,Strawberry Frosted Sprinkles,0.0,3,0.0,0.0,0.0,0.0,0.0
347884,2020-03-18,Vanilla Frosted,0.0,2,0.0,0.0,0.0,0.0,0.0
347884,2020-03-18,Blueberry Shot (D),0.0,1,0.0,0.0,0.0,0.0,0.0
347884,2020-03-18,French Vanilla Shot (D),0.0,8,0.0,0.0,0.0,0.0,0.0
347884,2020-03-18,Hazelnut Shot (D),0.0,3,0.0,0.0,0.0,0.0,0.0
347884,2020-03-18,"Muffin, Item Only, No Flavor",1.69,7,11.83,0.82,0.0,0.0,11.83
347884,2020-03-18,Protein Muffin,1.99,1,1.99,0.14,0.0,0.0,1.99
347884,2020-03-18,6 Piece Hash Brown,0.99,34,33.66,2.33,0.0,0.0,33.66
347884,2020-03-18,"Wrap, Item BYO, Bacon, Fried Egg, American Cheese",1.99,12,23.88,1.65,0.0,0.0,23.88
347884,2020-03-18,"Wrap, Item BYO, Bacon, Fried Egg, White Cheddar",1.99,1,1.99,0.14,0.0,0.0,1.99
347884,2020-03-18,"Wrap, Item BYO, No Meat, EWVeggie, White Cheddar",1.79,1,1.79,0.12,0.0,0.0,1.79
347884,2020-03-18,"Wrap, Item BYO, No Meat, Fried Egg, American Cheese",1.79,2,3.58,0.25,1.58,0.0,2.0
347884,2020-03-18,"Wrap, Item BYO, No Meat, Fried Egg, No Cheese",1.79,2,3.58,0.25,1.58,0.0,2.0
347884,2020-03-18,"Wrap, Item BYO, Sausage, Fried Egg, American Cheese",1.99,6,11.94,0.83,2.94,0.0,9.0
347884,2020-03-18,"Wrap, Item BYO, Sweet Black Pepper Bacon, Fried Egg, White Cheddar",1.99,1,1.99,0.14,0.0,0.0,1.99
347884,2020-03-18,"Wrap, Item BYO, Turkey Sausage , Fried Egg, No Cheese",1.99,2,3.98,0.28,0.0,0.0,3.98
347884,2020-03-18,"Wrap, Item BYO, Turkey Sausage , NoEgg, American Cheese",1.99,2,3.98,0.28,0.0,0.0,3.98
347884,2020-03-18,"Egg & Chz, Item BYO, EWOmlVeggie, American, Croissant",4.29,2,8.58,0.59,0.0,0.0,8.58
347884,2020-03-18,"Egg & Chz, Item BYO, Fried Egg, American, English Muffin",3.29,2,6.58,0.46,0.0,0.0,6.58
347884,2020-03-18,"Egg & Chz, Item BYO, Fried Egg, NoCheese, Bagel",3.29,1,3.29,0.23,0.0,0.0,3.29
347884,2020-03-18,"Big N Toasted, Item BYO, 2FrdEggs, Bacon Amr, Bagel",4.49,1,4.49,0.31,0.0,0.0,4.49
347884,2020-03-18,"Big N Toasted, Item BYO, 2FrdEggs, Bacon Amr, Texas Toast",4.49,4,17.96,1.24,0.0,0.0,17.96
347884,2020-03-18,"Egg Bcn & Chz, Item BYO, Fried Egg, American, Bagel",3.99,1,3.99,0.28,0.0,0.0,3.99
347884,2020-03-18,"Egg Bcn & Chz, Item BYO, Fried Egg, American, Croissant",3.99,17,67.83,4.69,23.84,0.0,43.99
347884,2020-03-18,"Egg Bcn & Chz, Item BYO, Fried Egg, American, English Muffin",3.99,1,3.99,0.28,0.0,0.0,3.99
347884,2020-03-18,"Egg Ham & Chz, Item BYO, Fried Egg, American, English Muffin",3.99,2,7.98,0.55,0.0,0.0,7.98
347884,2020-03-18,"Egg Ssg & Chz, Item BYO, Fried Egg, American, Bagel",3.99,1,3.99,0.28,0.0,0.0,3.99
347884,2020-03-18,"Egg Ssg & Chz, Item BYO, Fried Egg, American, Croissant",3.99,7,27.93,1.93,0.0,0.0,27.93
347884,2020-03-18,"Egg Ssg & Chz, Item BYO, Fried Egg, NoCheese, English Muffin",3.99,1,3.99,0.28,0.0,0.0,3.99
347884,2020-03-18,"Egg Ssg & Chz, Item BYO, NoEgg, American, Croissant",3.69,2,7.38,0.51,0.0,0.0,7.38
347884,2020-03-18,"Sweet Black Pepper Bacon Sandwich, Fried Egg, White Cheddar, Croissant",4.29,6,25.74,1.78,0.0,0.0,25.74
347884,2020-03-18,"Turkey Ssg Sand, EWOmlVeggie, White Cheddar, Multigrain Thin",4.29,1,4.29,0.3,0.0,0.0,4.29
347884,2020-03-18,"Turkey Ssg Sand, Fried Egg, American, Croissant",3.99,1,3.99,0.28,0.0,0.0,3.99
347884,2020-03-18,"Turkey Ssg Sand, Fried Egg, American, English Muffin",3.99,2,7.98,0.55,0.0,3.99,3.99
347884,2020-03-18,"Turkey Ssg Sand, NoEgg, American, Croissant",3.69,1,3.69,0.26,0.0,0.0,3.69
347884,2020-03-18,"Turkey Ssg Sand, NoEgg, American, English Muffin",3.69,1,3.69,0.26,0.0,0.0,3.69
347884,2020-03-18,Snacking Bacon,2.79,1,2.79,0.19,0.0,0.0,2.79
